Date,Open,High,Low,Close*,Adj Close**,Volume
27-Aug-19,"2,893.14","2,898.79","2,860.59","2,869.16","2,869.16","3,533,630,000"
26-Aug-19,"2,866.70","2,879.27","2,856.00","2,878.38","2,878.38","2,857,600,000"
23-Aug-19,"2,911.07","2,927.01","2,834.97","2,847.11","2,847.11","3,937,300,000"
22-Aug-19,"2,930.94","2,939.08","2,904.51","2,922.95","2,922.95","2,890,880,000"
21-Aug-19,"2,922.04","2,928.73","2,917.91","2,924.43","2,924.43","3,011,190,000"
20-Aug-19,"2,919.01","2,923.63","2,899.60","2,900.51","2,900.51","3,066,300,000"
19-Aug-19,"2,913.48","2,931.00","2,913.48","2,923.65","2,923.65","3,212,880,000"
16-Aug-19,"2,864.74","2,893.63","2,864.74","2,888.68","2,888.68","3,498,150,000"
15-Aug-19,"2,846.20","2,856.67","2,825.51","2,847.60","2,847.60","4,038,000,000"
14-Aug-19,"2,894.15","2,894.15","2,839.64","2,840.60","2,840.60","4,312,530,000"
13-Aug-19,"2,880.72","2,943.31","2,877.05","2,926.32","2,926.32","3,853,600,000"
12-Aug-19,"2,907.07","2,907.58","2,873.14","2,882.70","2,882.70","2,851,630,000"
9-Aug-19,"2,930.51","2,935.75","2,900.15","2,918.65","2,918.65","3,350,640,000"
8-Aug-19,"2,896.21","2,938.72","2,894.47","2,938.09","2,938.09","4,106,370,000"
7-Aug-19,"2,858.65","2,892.17","2,825.71","2,883.98","2,883.98","4,491,750,000"
6-Aug-19,"2,861.18","2,884.40","2,847.42","2,881.77","2,881.77","4,154,240,000"
5-Aug-19,"2,898.07","2,898.07","2,822.12","2,844.74","2,844.74","4,513,730,000"
2-Aug-19,"2,943.90","2,945.50","2,914.11","2,932.05","2,932.05","3,874,660,000"
1-Aug-19,"2,980.32","3,013.59","2,945.23","2,953.56","2,953.56","4,762,300,000"
31-Jul-19,"3,016.22","3,017.40","2,958.08","2,980.38","2,980.38","4,623,430,000"
30-Jul-19,"3,007.66","3,017.19","3,000.94","3,013.18","3,013.18","3,634,330,000"
29-Jul-19,"3,024.47","3,025.61","3,014.30","3,020.97","3,020.97","3,203,710,000"
26-Jul-19,"3,013.25","3,027.98","3,012.59","3,025.86","3,025.86","3,257,590,000"
25-Jul-19,"3,016.26","3,016.31","2,997.24","3,003.67","3,003.67","3,645,270,000"
24-Jul-19,"2,998.77","3,019.59","2,996.82","3,019.56","3,019.56","3,428,980,000"
23-Jul-19,"2,994.74","3,005.90","2,988.56","3,005.47","3,005.47","3,313,660,000"
22-Jul-19,"2,981.93","2,990.71","2,976.65","2,985.03","2,985.03","3,003,720,000"
19-Jul-19,"3,004.26","3,006.02","2,975.86","2,976.61","2,976.61","3,260,360,000"
18-Jul-19,"2,978.87","2,998.28","2,973.09","2,995.11","2,995.11","3,296,580,000"
17-Jul-19,"3,005.10","3,005.26","2,984.25","2,984.42","2,984.42","3,181,600,000"
16-Jul-19,"3,012.13","3,015.02","3,001.15","3,004.04","3,004.04","3,290,650,000"
15-Jul-19,"3,017.80","3,017.80","3,008.77","3,014.30","3,014.30","2,874,970,000"
12-Jul-19,"3,003.36","3,013.92","3,001.87","3,013.77","3,013.77","2,974,960,000"
11-Jul-19,"2,999.62","3,002.33","2,988.80","2,999.91","2,999.91","3,154,620,000"
10-Jul-19,"2,989.30","3,002.98","2,984.62","2,993.07","2,993.07","3,154,240,000"
9-Jul-19,"2,965.52","2,981.90","2,963.44","2,979.63","2,979.63","3,028,210,000"
8-Jul-19,"2,979.77","2,980.76","2,970.09","2,975.95","2,975.95","2,904,550,000"
5-Jul-19,"2,984.25","2,994.03","2,967.97","2,990.41","2,990.41","2,434,210,000"
3-Jul-19,"2,978.08","2,995.84","2,977.96","2,995.82","2,995.82","1,963,720,000"
2-Jul-19,"2,964.66","2,973.21","2,955.92","2,973.01","2,973.01","3,206,840,000"
1-Jul-19,"2,971.41","2,977.93","2,952.22","2,964.33","2,964.33","3,513,270,000"
28-Jun-19,"2,932.94","2,943.98","2,929.05","2,941.76","2,941.76","5,420,700,000"
27-Jun-19,"2,919.66","2,929.30","2,918.57","2,924.92","2,924.92","3,122,920,000"
26-Jun-19,"2,926.07","2,932.59","2,912.99","2,913.78","2,913.78","3,478,130,000"
25-Jun-19,"2,945.78","2,946.52","2,916.01","2,917.38","2,917.38","3,578,050,000"
24-Jun-19,"2,951.42","2,954.92","2,944.05","2,945.35","2,945.35","3,136,250,000"
21-Jun-19,"2,952.71","2,964.15","2,946.87","2,950.46","2,950.46","5,000,120,000"
20-Jun-19,"2,949.60","2,958.06","2,931.50","2,954.18","2,954.18","3,905,940,000"
19-Jun-19,"2,920.55","2,931.74","2,911.43","2,926.46","2,926.46","3,287,890,000"
18-Jun-19,"2,906.71","2,930.79","2,905.44","2,917.75","2,917.75","3,437,620,000"
17-Jun-19,"2,889.75","2,897.27","2,887.30","2,889.67","2,889.67","2,810,140,000"
14-Jun-19,"2,886.82","2,894.45","2,879.62","2,886.98","2,886.98","2,922,330,000"
13-Jun-19,"2,886.24","2,895.24","2,881.99","2,891.64","2,891.64","3,069,810,000"
12-Jun-19,"2,882.73","2,888.57","2,874.68","2,879.84","2,879.84","3,034,130,000"
11-Jun-19,"2,903.27","2,910.61","2,878.53","2,885.72","2,885.72","3,548,420,000"
10-Jun-19,"2,885.83","2,904.77","2,885.51","2,886.73","2,886.73","3,209,210,000"
7-Jun-19,"2,852.87","2,884.97","2,852.87","2,873.34","2,873.34","3,220,250,000"
6-Jun-19,"2,828.51","2,852.10","2,822.45","2,843.49","2,843.49","3,396,410,000"
5-Jun-19,"2,818.09","2,827.28","2,800.92","2,826.15","2,826.15","3,548,830,000"
4-Jun-19,"2,762.64","2,804.49","2,762.64","2,803.27","2,803.27","3,810,430,000"
3-Jun-19,"2,751.53","2,763.07","2,728.81","2,744.45","2,744.45","3,966,700,000"
31-May-19,"2,766.15","2,768.98","2,750.52","2,752.06","2,752.06","3,981,020,000"
30-May-19,"2,786.94","2,799.00","2,776.74","2,788.86","2,788.86","3,273,790,000"
29-May-19,"2,790.25","2,792.03","2,766.06","2,783.02","2,783.02","3,700,050,000"
28-May-19,"2,830.03","2,840.51","2,801.58","2,802.39","2,802.39","4,121,410,000"
24-May-19,"2,832.41","2,841.36","2,820.19","2,826.06","2,826.06","2,887,390,000"
23-May-19,"2,836.70","2,836.70","2,805.49","2,822.24","2,822.24","3,891,980,000"
22-May-19,"2,856.06","2,865.47","2,851.11","2,856.27","2,856.27","3,192,510,000"
21-May-19,"2,854.02","2,868.88","2,854.02","2,864.36","2,864.36","3,218,700,000"
20-May-19,"2,841.94","2,853.86","2,831.29","2,840.23","2,840.23","3,288,870,000"
17-May-19,"2,858.60","2,885.48","2,854.23","2,859.53","2,859.53","3,257,950,000"
16-May-19,"2,855.80","2,892.15","2,855.80","2,876.32","2,876.32","3,338,060,000"
15-May-19,"2,820.38","2,858.68","2,815.08","2,850.96","2,850.96","3,125,950,000"
14-May-19,"2,820.12","2,852.54","2,820.12","2,834.41","2,834.41","3,322,720,000"
13-May-19,"2,840.19","2,840.19","2,801.43","2,811.87","2,811.87","3,894,030,000"
10-May-19,"2,863.10","2,891.31","2,825.39","2,881.40","2,881.40","3,529,600,000"
9-May-19,"2,859.84","2,875.97","2,836.40","2,870.72","2,870.72","3,638,820,000"
8-May-19,"2,879.61","2,897.96","2,873.28","2,879.42","2,879.42","3,485,790,000"
7-May-19,"2,913.03","2,913.03","2,862.60","2,884.05","2,884.05","3,767,100,000"
6-May-19,"2,908.89","2,937.32","2,898.21","2,932.47","2,932.47","3,181,520,000"
3-May-19,"2,929.21","2,947.85","2,929.21","2,945.64","2,945.64","3,338,120,000"
2-May-19,"2,922.16","2,931.68","2,900.50","2,917.52","2,917.52","3,778,890,000"
1-May-19,"2,952.33","2,954.13","2,923.36","2,923.73","2,923.73","3,645,850,000"
30-Apr-19,"2,937.14","2,948.22","2,924.11","2,945.83","2,945.83","3,919,330,000"
29-Apr-19,"2,940.58","2,949.52","2,939.35","2,943.03","2,943.03","3,118,780,000"
26-Apr-19,"2,925.81","2,939.88","2,917.56","2,939.88","2,939.88","3,248,500,000"
25-Apr-19,"2,928.99","2,933.10","2,912.84","2,926.17","2,926.17","3,425,280,000"
24-Apr-19,"2,934.00","2,936.83","2,926.05","2,927.25","2,927.25","3,448,960,000"
