Date,Open,High,Low,Close*,Adj Close**, Volume 
2018-07-20,25041.14,25124.10,24986.35,25058.12,25058.12,274080000
2018-07-19,25139.15,25154.17,25052.62,25064.50,25064.50,285760000
2018-07-18,25133.79,25215.32,25101.12,25199.29,25199.29,252870000
2018-07-17,25033.92,25155.39,24989.61,25119.89,25119.89,250450000
2018-07-16,25025.58,25072.41,24979.64,25064.36,25064.36,231270000
2018-07-13,24926.07,25043.21,24890.06,25019.41,25019.41,255520000
2018-07-12,24802.90,24939.97,24802.90,24924.89,24924.89,233150000
2018-07-11,24789.48,24815.16,24663.82,24700.45,24700.45,237370000
2018-07-10,24806.97,24945.38,24806.97,24919.66,24919.66,235040000
2018-07-09,24519.20,24796.52,24518.43,24776.59,24776.59,240580000
2018-07-06,24352.47,24520.29,24281.47,24456.48,24456.48,219450000
2018-07-05,24285.82,24372.80,24177.44,24356.74,24356.74,237670000
2018-07-03,24359.39,24444.88,24150.85,24174.82,24174.82,160960000
2018-07-02,24161.53,24319.42,24077.56,24307.18,24307.18,244110000
2018-06-29,24323.93,24509.52,24269.71,24271.41,24271.41,329070000
2018-06-28,24064.19,24308.16,23997.21,24216.05,24216.05,305020000
2018-06-27,24303.11,24569.02,24115.82,24117.59,24117.59,313790000
2018-06-26,24281.89,24384.21,24241.22,24283.11,24283.11,301130000
2018-06-25,24463.73,24463.73,24084.39,24252.80,24252.80,439130000
2018-06-22,24526.97,24663.18,24526.97,24580.89,24580.89,473970000
2018-06-21,24639.21,24639.21,24406.63,24461.70,24461.70,349570000
2018-06-20,24771.17,24804.76,24628.39,24657.80,24657.80,359520000
2018-06-19,24763.59,24763.59,24567.75,24700.21,24700.21,376380000
2018-06-18,24944.28,25003.10,24825.77,24987.47,24987.47,337070000
2018-06-15,25116.71,25130.82,24894.38,25090.48,25090.48,659370000
2018-06-14,25254.65,25332.50,25138.60,25175.31,25175.31,341170000
2018-06-13,25328.65,25362.07,25191.42,25201.20,25201.20,329700000
2018-06-12,25346.82,25364.37,25247.04,25320.73,25320.73,265750000
2018-06-11,25336.67,25402.83,25290.20,25322.31,25322.31,276740000
2018-06-08,25209.29,25325.63,25165.70,25316.53,25316.53,317510000
2018-06-07,25192.14,25326.09,25164.48,25241.41,25241.41,357680000
2018-06-06,24854.14,25146.46,24854.14,25146.39,25146.39,316090000
2018-06-05,24820.12,24838.78,24710.82,24799.98,24799.98,306340000
2018-06-04,24727.55,24859.37,24722.14,24813.69,24813.69,340400000
2018-06-01,24542.09,24673.60,24542.09,24635.21,24635.21,315710000
2018-05-31,24620.79,24620.79,24352.15,24415.84,24415.84,429740000
2018-05-30,24467.83,24714.48,24459.09,24667.78,24667.78,324870000
2018-05-29,24606.59,24635.18,24247.84,24361.45,24361.45,395810000
2018-05-25,24781.29,24824.22,24687.81,24753.09,24753.09,257210000
2018-05-24,24877.36,24877.36,24605.90,24811.76,24811.76,347050000
2018-05-23,24757.71,24889.46,24667.12,24886.81,24886.81,399610000
2018-05-22,25047.55,25064.99,24812.06,24834.41,24834.41,288200000
2018-05-21,24883.06,25086.49,24883.06,25013.29,25013.29,308920000
2018-05-18,24707.72,24774.97,24664.87,24715.09,24715.09,269700000
2018-05-17,24752.40,24839.49,24639.40,24713.98,24713.98,314650000
2018-05-16,24722.32,24801.19,24672.79,24768.93,24768.93,280810000
2018-05-15,24809.55,24809.55,24629.39,24706.41,24706.41,301900000
2018-05-14,24879.37,24994.19,24862.52,24899.41,24899.41,282860000
2018-05-11,24758.64,24868.65,24717.50,24831.17,24831.17,274150000
2018-05-10,24591.66,24794.99,24575.91,24739.53,24739.53,304210000
2018-05-09,24399.18,24586.48,24323.87,24542.54,24542.54,361580000
2018-05-08,24341.35,24412.34,24198.34,24360.21,24360.21,344940000
2018-05-07,24317.66,24479.45,24263.42,24357.32,24357.32,307670000
2018-05-04,23865.22,24333.35,23778.87,24262.51,24262.51,329480000
2018-05-03,23836.23,23996.15,23531.31,23930.15,23930.15,389240000
2018-05-02,24097.63,24185.52,23886.30,23924.98,23924.98,385350000
2018-05-01,24117.29,24117.29,23808.19,24099.05,24099.05,380070000
2018-04-30,24410.41,24498.23,24163.08,24163.15,24163.15,416650000
2018-04-27,24342.14,24359.38,24194.45,24311.19,24311.19,392810000
2018-04-26,24128.72,24402.46,24128.72,24322.34,24322.34,390360000
2018-04-25,24070.20,24146.34,23823.08,24083.83,24083.83,437100000
2018-04-24,24579.94,24579.94,23828.73,24024.13,24024.13,468180000
2018-04-23,24488.07,24536.89,24328.54,24448.69,24448.69,351030000
2018-04-20,24657.39,24678.07,24375.04,24462.94,24462.94,537770000
2018-04-19,24711.30,24762.48,24557.03,24664.89,24664.89,381110000
2018-04-18,24820.85,24832.54,24721.09,24748.07,24748.07,302030000
2018-04-17,24681.79,24858.97,24681.79,24786.63,24786.63,342410000
2018-04-16,24483.15,24675.36,24480.20,24573.04,24573.04,305070000
2018-04-13,24582.82,24646.45,24243.74,24360.14,24360.14,331890000
2018-04-12,24302.82,24592.12,24302.82,24483.05,24483.05,336130000
2018-04-11,24274.19,24366.57,24150.87,24189.45,24189.45,286360000
2018-04-10,24198.95,24511.35,24198.95,24408.00,24408.00,368590000
2018-04-09,24037.52,24373.18,23954.83,23979.10,23979.10,380790000
2018-04-06,24373.60,24434.40,23738.20,23932.76,23932.76,395990000
2018-04-05,24313.91,24622.26,24313.91,24505.22,24505.22,347790000
2018-04-04,23654.15,24308.96,23523.16,24264.30,24264.30,388540000
2018-04-03,23698.33,24044.35,23664.33,24033.36,24033.36,394130000
2018-04-02,24076.60,24123.80,23344.52,23644.19,23644.19,509820000
2018-03-29,23949.18,24314.30,23928.13,24103.11,24103.11,463550000
2018-03-28,23883.08,24092.47,23728.67,23848.42,23848.42,530040000
2018-03-27,24276.62,24446.22,23708.73,23857.71,23857.71,524480000
2018-03-26,23825.74,24232.30,23741.22,24202.60,24202.60,479540000
